"Name","Brand","Unit","Attribute 1","Attribute 2","Attribute 3"
"Color","(brand=Unknown)","(unit=pcs)","(attr=10/1)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=12/11)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=900s)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7_3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8_3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8_1)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=3.76)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=2000)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=4_20)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=0/88)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=0/28)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=j5)","(attr=Pink)",
"Color","(brand=Unknown)","(unit=pcs)","(attr=12)","(attr=Rich Pink)",
"Color","(brand=Dcash)","(unit=pcs)","(attr=201)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=202)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=206)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=303)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=333)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=101)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=401)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=403)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=404)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=503)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=504)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=711)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=777)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=802)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=888/5)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=909)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=911)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=933)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=980)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=1490)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=Red)",,
"Color","(brand=Dcash)","(unit=pcs)","(attr=920)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=12/89)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=0/22)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=0/11)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=0/65)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=55/66)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=99)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Maziaral Copper)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Majilift)","(attr=12.7)",
"Color","(brand=Unknown)","(unit=pcs)","(attr=Platinum)","(attr=10.117)",
"Color","(brand=Unknown)","(unit=pcs)","(attr=Extra light)","(attr=10.7)",
"Color","(brand=Unknown)","(unit=Bottle)","(attr=Red)",,
"Color","(brand=Unknown)","(unit=Bottle)","(attr=Blue)",,
"Color","(brand=Unknown)","(unit=Bottle)","(attr=Meganta)",,
"Color","(brand=Voila Cream)","(unit=pcs)","(attr=7.8)",,
"Color","(brand=Voila Cream)","(unit=pcs)","(attr=6.8)",,
"Color","(brand=Voila Cream)","(unit=pcs)","(attr=6.66)",,
"Color","(brand=Igora)","(unit=pcs)","(attr=4_68)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=0/28)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=9.43)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=1032)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=4.76)",,
"Color","(brand=Kolestone)","(unit=pcs)","(attr=0/88)",,
"Color","(brand=Igora)","(unit=pcs)","(attr=0_88)",,
"Color","(brand=Igora)","(unit=pcs)","(attr=0_33)",,
"Color","(brand=Igora)","(unit=pcs)","(attr=91/2_1)",,
"Color","(brand=Igora)","(unit=pcs)","(attr=100/88)",,
"Color","(brand=Evolution)","(unit=pcs)","(attr=8.1)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.53)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6)",,
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=4.51)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=4.30)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=5)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=5.30)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=5.62)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=6.30)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=6.62)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=7.30)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=8.30)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=12.10)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=8)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=4.26)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=6)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=4)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=Blue)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=Vert)",
"Color","(brand=Loreal)","(unit=???)","(attr=Majirul)","(attr=Violet)",
"Color","(brand=Unknown)","(unit=???)","(attr=Majirul)","(attr=4.53)",
